,Scaled_Age,Scaled_SibSp,Scaled_Parch,Scaled_Fare,Pclass_2,Pclass_3,Is_male,Embarked_Q,Embarked_S,Survived
644,-2.10984924506,1.38524133833,0.845007674298,-0.268498280372,0.0,1.0,0.0,0.0,0.0,1
574,-0.965347086729,-0.497549625513,-0.463108102018,-0.471717264416,0.0,1.0,1.0,0.0,1.0,0
465,0.685737994137,-0.497549625513,-0.463108102018,-0.489848380111,0.0,1.0,1.0,0.0,1.0,0
605,0.535639350422,0.44384585641,-0.463108102018,-0.335733896703,0.0,1.0,1.0,0.0,1.0,0
0,-0.515051155584,0.44384585641,-0.463108102018,-0.486222156972,0.0,1.0,1.0,0.0,1.0,0
37,-0.590100477441,-0.497549625513,-0.463108102018,-0.471717264416,0.0,1.0,1.0,0.0,1.0,0
748,-0.740199121156,0.44384585641,-0.463108102018,0.345089497643,0.0,0.0,1.0,0.0,1.0,0
45,-0.214853868153,-0.497549625513,-0.463108102018,-0.471717264416,0.0,1.0,1.0,0.0,1.0,0
34,-0.0647552244383,0.44384585641,-0.463108102018,0.872175535789,0.0,0.0,1.0,0.0,0.0,0
740,0.985935281567,-0.497549625513,-0.463108102018,-0.0737392749107,0.0,0.0,1.0,0.0,1.0,1
134,-0.289903190011,-0.497549625513,-0.463108102018,-0.381968241725,1.0,0.0,1.0,0.0,1.0,0
158,-0.214853868153,-0.497549625513,-0.463108102018,-0.460611956053,0.0,1.0,1.0,0.0,1.0,0
88,-0.440001833726,2.32663682025,2.15312345061,4.15081068202,0.0,0.0,0.0,0.0,1.0,1
833,-0.440001833726,-0.497549625513,-0.463108102018,-0.475267336869,0.0,1.0,1.0,0.0,1.0,0
847,0.460590028565,-0.497549625513,-0.463108102018,-0.474513082456,0.0,1.0,1.0,0.0,0.0,0
730,0.0102940974192,-0.497549625513,-0.463108102018,3.21411191743,0.0,0.0,0.0,0.0,1.0,1
405,0.385540706707,0.44384585641,-0.463108102018,-0.236919316166,1.0,0.0,1.0,0.0,1.0,0
758,0.385540706707,-0.497549625513,-0.463108102018,-0.471717264416,0.0,1.0,1.0,0.0,1.0,0
576,0.385540706707,-0.497549625513,-0.463108102018,-0.381968241725,1.0,0.0,0.0,0.0,1.0,1
488,0.0853434192768,-0.497549625513,-0.463108102018,-0.471717264416,0.0,1.0,1.0,0.0,1.0,0
195,2.18672443129,-0.497549625513,-0.463108102018,2.03891283076,0.0,0.0,0.0,0.0,0.0,1
781,-0.890297764871,0.44384585641,-0.463108102018,0.415800848854,0.0,0.0,0.0,0.0,1.0,1
214,-0.214853868153,0.44384585641,-0.463108102018,-0.477156599124,0.0,1.0,1.0,1.0,0.0,0
101,-0.214853868153,-0.497549625513,-0.463108102018,-0.474513082456,0.0,1.0,1.0,0.0,1.0,0
750,-1.86593894902,0.44384585641,0.845007674298,-0.200657084776,1.0,0.0,0.0,0.0,1.0,1
619,-0.214853868153,-0.497549625513,-0.463108102018,-0.427296030963,1.0,0.0,1.0,0.0,1.0,0
162,-0.214853868153,-0.497549625513,-0.463108102018,-0.476703321232,0.0,1.0,1.0,0.0,1.0,0
825,-0.214853868153,-0.497549625513,-0.463108102018,-0.49166149168,0.0,1.0,1.0,1.0,0.0,0
356,-0.515051155584,-0.497549625513,0.845007674298,0.379538617464,0.0,0.0,0.0,0.0,1.0,1
116,3.12484095451,-0.497549625513,-0.463108102018,-0.477156599124,0.0,1.0,1.0,1.0,0.0,0
137,0.61068867228,0.44384585641,-0.463108102018,0.345089497643,0.0,0.0,1.0,0.0,1.0,0
244,0.0853434192768,-0.497549625513,-0.463108102018,-0.486675434864,0.0,1.0,1.0,0.0,0.0,0
442,-0.289903190011,0.44384585641,-0.463108102018,-0.476703321232,0.0,1.0,1.0,0.0,1.0,0
569,0.235442062992,-0.497549625513,-0.463108102018,-0.475267336869,0.0,1.0,1.0,0.0,1.0,1
398,-0.440001833726,-0.497549625513,-0.463108102018,-0.427296030963,1.0,0.0,1.0,0.0,1.0,0
817,0.160392741134,0.44384585641,0.845007674298,0.0532546856401,1.0,0.0,1.0,0.0,0.0,0
370,-0.289903190011,0.44384585641,-0.463108102018,0.387547131266,0.0,0.0,1.0,0.0,0.0,1
179,0.535639350422,-0.497549625513,-0.463108102018,-0.61767274576,0.0,1.0,1.0,0.0,1.0,0
443,-0.0647552244383,-0.497549625513,-0.463108102018,-0.381968241725,1.0,0.0,0.0,0.0,1.0,1
703,-0.289903190011,-0.497549625513,-0.463108102018,-0.477307087384,0.0,1.0,1.0,1.0,0.0,0
762,-0.665149799299,-0.497549625513,-0.463108102018,-0.486599284178,0.0,1.0,1.0,0.0,0.0,1
261,-1.94098827088,3.26803230218,2.15312345061,-0.0485823518839,0.0,1.0,1.0,0.0,1.0,1
157,0.0853434192768,-0.497549625513,-0.463108102018,-0.471717264416,0.0,1.0,1.0,0.0,1.0,0
301,-0.214853868153,1.38524133833,-0.463108102018,-0.196124305852,0.0,1.0,1.0,1.0,0.0,1
14,-1.11544573044,-0.497549625513,-0.463108102018,-0.475267336869,0.0,1.0,0.0,0.0,1.0,0
246,-0.289903190011,-0.497549625513,-0.463108102018,-0.476703321232,0.0,1.0,0.0,0.0,1.0,0
353,-0.289903190011,0.44384585641,-0.463108102018,-0.29493888639,0.0,1.0,1.0,0.0,1.0,0
810,-0.214853868153,-0.497549625513,-0.463108102018,-0.474663570716,0.0,1.0,1.0,0.0,1.0,0
280,2.71206968429,-0.497549625513,-0.463108102018,-0.477156599124,0.0,1.0,1.0,1.0,0.0,0
551,-0.139804546296,-0.497549625513,-0.463108102018,-0.146263737691,1.0,0.0,1.0,0.0,1.0,0
148,0.573164011351,-0.497549625513,2.15312345061,-0.146263737691,1.0,0.0,1.0,0.0,1.0,0
52,1.51128053457,0.44384585641,-0.463108102018,0.773513256623,0.0,0.0,0.0,0.0,0.0,1
590,0.460590028565,-0.497549625513,-0.463108102018,-0.488488546434,0.0,1.0,1.0,0.0,1.0,0
840,-0.665149799299,-0.497549625513,-0.463108102018,-0.473983653878,0.0,1.0,1.0,0.0,1.0,0
621,0.985935281567,0.44384585641,-0.463108102018,0.335193534697,0.0,0.0,1.0,0.0,1.0,1
475,0.985935281567,-0.497549625513,-0.463108102018,0.325145270379,0.0,0.0,1.0,0.0,1.0,0
473,-0.440001833726,-0.497549625513,-0.463108102018,-0.36761383743,1.0,0.0,0.0,0.0,0.0,1
880,-0.289903190011,-0.497549625513,0.845007674298,-0.146263737691,1.0,0.0,0.0,0.0,1.0,1
257,0.0853434192768,-0.497549625513,-0.463108102018,0.950668761856,0.0,0.0,0.0,0.0,1.0,1
